iter	Passed	Remaining
0	597	47192
1	1202	46879
2	1688	43347
3	2275	43226
4	2809	42146
5	3316	40901
6	3826	39906
7	4322	38898
8	4832	38126
9	5328	37300
10	5785	36292
11	6215	35223
12	6675	34402
13	7161	33759
14	7604	32952
15	8076	32306
16	8575	31778
17	9009	31034
18	9461	30375
19	10015	30047
20	10511	29532
21	11038	29102
22	11615	28785
23	12154	28360
24	12745	28039
25	13382	27794
26	13947	27379
27	14484	26899
28	15036	26443
29	15555	25926
30	16188	25588
31	16751	25127
32	17279	24609
33	17820	24110
34	18348	23590
35	18895	23095
36	19450	22605
37	20001	22106
38	20568	21623
39	21109	21109
40	21708	20649
41	22260	20140
42	22812	19629
43	23437	19176
44	24047	18703
45	24569	18160
46	25152	17660
47	25713	17142
48	26273	16622
49	26860	16116
50	27456	15612
51	28051	15104
52	28694	14618
53	29278	14097
54	29813	13551
55	30403	13029
56	30938	12483
57	31522	11956
58	32135	11438
59	32673	10891
60	33230	10350
61	33793	9810
62	34542	9320
63	35291	8822
64	36051	8319
65	36881	7823
66	37665	7308
67	38393	6775
68	39013	6219
69	39565	5652
70	40212	5097
71	40768	4529
72	41371	3967
73	41952	3401
74	42530	2835
75	43169	2272
76	43812	1706
77	44363	1137
78	45009	569
79	45682	0
