iter	Logloss_SumError	Logloss_SumWeight
0	17837.95669	32769
1	14556.20985	32769
2	12337.38513	32769
3	10814.30088	32769
4	9705.020365	32769
5	8809.485201	32769
6	8206.569764	32769
7	7703.756577	32769
8	7075.056248	32769
9	6563.571352	32769
10	6211.404126	32769
11	5975.28395	32769
12	5732.234396	32769
13	5494.662098	32769
14	5378.221895	32769
15	5240.789564	32769
16	5098.077828	32769
17	4988.226212	32769
18	4878.725651	32769
19	4803.204288	32769
20	4675.088427	32769
21	4576.908423	32769
22	4483.020854	32769
23	4393.017912	32769
24	4325.53962	32769
25	4258.126121	32769
26	4175.807929	32769
27	4132.02258	32769
28	4082.393745	32769
29	4042.517351	32769
30	4022.463372	32769
31	3992.176027	32769
32	3961.59862	32769
33	3923.048793	32769
34	3898.153859	32769
35	3890.36697	32769
36	3870.583638	32769
37	3861.17322	32769
38	3843.92269	32769
39	3820.664665	32769
40	3814.703163	32769
41	3811.357652	32769
42	3796.896618	32769
43	3781.096748	32769
44	3777.03224	32769
45	3774.385299	32769
46	3772.843003	32769
47	3766.966895	32769
48	3761.796911	32769
49	3753.307992	32769
50	3748.912445	32769
51	3746.139	32769
52	3746.254482	32769
53	3751.909891	32769
54	3732.460432	32769
55	3724.466394	32769
56	3721.805706	32769
57	3714.569778	32769
58	3697.922343	32769
59	3689.754084	32769
60	3687.022903	32769
61	3676.046304	32769
62	3667.276	32769
63	3662.268888	32769
64	3658.616922	32769
65	3646.962217	32769
66	3633.498727	32769
67	3624.225212	32769
68	3616.924835	32769
69	3611.257575	32769
70	3606.664083	32769
71	3597.789312	32769
72	3591.787545	32769
73	3592.560734	32769
74	3594.173295	32769
75	3591.465601	32769
76	3592.623747	32769
77	3587.26986	32769
78	3586.569991	32769
79	3589.457623	32769
80	3592.318444	32769
81	3591.378181	32769
82	3590.588496	32769
83	3588.8569	32769
84	3583.7586	32769
85	3579.846687	32769
86	3581.507138	32769
87	3580.815726	32769
88	3579.662874	32769
89	3574.957782	32769
90	3569.008007	32769
91	3560.802656	32769
92	3557.734476	32769
93	3558.835556	32769
94	3555.549471	32769
95	3555.114269	32769
96	3559.872245	32769
97	3557.957217	32769
98	3557.705583	32769
99	3566.939331	32769
100	3566.412342	32769
101	3566.885016	32769
102	3566.113475	32769
103	3568.270103	32769
104	3566.740543	32769
105	3566.236942	32769
106	3563.612112	32769
107	3565.209591	32769
108	3565.25588	32769
109	3563.731924	32769
110	3559.334979	32769
111	3559.523448	32769
112	3559.24779	32769
113	3558.029104	32769
114	3555.259064	32769
115	3552.912742	32769
116	3551.092612	32769
117	3558.219694	32769
118	3558.643574	32769
119	3556.848198	32769
120	3559.542938	32769
121	3558.181774	32769
122	3557.087883	32769
123	3552.936121	32769
124	3547.174264	32769
125	3545.591976	32769
126	3544.43699	32769
127	3543.741998	32769
128	3541.364759	32769
129	3538.913909	32769
130	3538.058119	32769
131	3535.397093	32769
132	3535.597886	32769
133	3535.044823	32769
134	3531.027293	32769
135	3530.49311	32769
136	3532.380406	32769
137	3532.495935	32769
138	3530.236854	32769
139	3530.39277	32769
140	3530.460402	32769
141	3530.391549	32769
142	3529.164401	32769
143	3527.990232	32769
144	3529.026614	32769
145	3526.847191	32769
146	3526.396946	32769
147	3523.371382	32769
148	3522.869604	32769
149	3528.855757	32769
150	3528.250185	32769
151	3527.970993	32769
152	3522.557091	32769
153	3523.450781	32769
154	3523.071457	32769
155	3521.159658	32769
156	3524.063353	32769
157	3525.032134	32769
158	3525.771392	32769
159	3528.407272	32769
160	3523.56795	32769
161	3521.396497	32769
162	3521.036973	32769
163	3516.639835	32769
164	3517.191535	32769
165	3516.437967	32769
166	3513.030206	32769
167	3514.146544	32769
168	3510.075595	32769
169	3514.410605	32769
170	3514.614565	32769
171	3517.033776	32769
172	3516.052958	32769
173	3515.259862	32769
174	3512.294564	32769
175	3513.50945	32769
176	3514.473256	32769
177	3516.359146	32769
178	3515.479259	32769
179	3513.477806	32769
180	3514.041623	32769
181	3512.457042	32769
182	3508.034214	32769
183	3506.274973	32769
184	3500.77026	32769
185	3497.384557	32769
186	3493.387489	32769
187	3493.769835	32769
188	3491.865671	32769
189	3490.168451	32769
190	3490.009232	32769
191	3489.453026	32769
192	3490.806029	32769
193	3489.834845	32769
194	3493.207158	32769
195	3490.183121	32769
196	3490.360781	32769
197	3489.434954	32769
198	3480.300721	32769
199	3480.025531	32769
200	3480.313558	32769
201	3479.571558	32769
202	3478.139192	32769
203	3478.915446	32769
204	3474.655429	32769
205	3476.399392	32769
206	3476.691794	32769
207	3474.791953	32769
208	3474.716571	32769
209	3475.359183	32769
210	3476.627619	32769
211	3472.883785	32769
212	3472.603617	32769
213	3473.736203	32769
214	3474.275759	32769
215	3475.645468	32769
216	3474.217011	32769
217	3477.016135	32769
218	3476.379634	32769
219	3472.407653	32769
