iter	Passed	Remaining
0	111	33398
1	136	20338
2	159	15819
3	180	13369
4	210	12437
5	248	12159
6	279	11703
7	316	11548
8	352	11403
9	389	11288
10	426	11205
11	471	11305
12	523	11563
13	575	11764
14	622	11820
15	675	11981
16	716	11934
17	758	11888
18	815	12061
19	856	11987
20	896	11913
21	933	11794
22	970	11683
23	1005	11561
24	1044	11484
25	1081	11395
26	1121	11343
27	1167	11342
28	1218	11385
29	1262	11361
30	1298	11271
31	1334	11173
32	1369	11084
33	1416	11084
34	1464	11089
35	1506	11047
36	1549	11013
37	1587	10945
38	1624	10868
39	1660	10792
40	1702	10753
41	1742	10706
42	1779	10633
43	1815	10565
44	1850	10487
45	1886	10417
46	1922	10349
47	1959	10286
48	1993	10213
49	2028	10141
50	2065	10085
51	2108	10057
52	2150	10022
53	2199	10020
54	2244	9999
55	2285	9956
56	2327	9924
57	2362	9856
58	2397	9791
59	2432	9731
60	2469	9674
61	2503	9610
62	2537	9546
63	2574	9491
64	2612	9444
65	2654	9412
66	2691	9359
67	2727	9304
68	2763	9250
69	2798	9195
70	2836	9147
71	2870	9090
72	2906	9038
73	2946	8998
74	3002	9006
75	3052	8996
76	3108	9003
77	3164	9006
78	3202	8959
79	3239	8907
80	3276	8857
81	3312	8805
82	3348	8753
83	3387	8709
84	3425	8663
85	3464	8620
86	3499	8568
87	3549	8551
88	3596	8526
89	3638	8490
90	3684	8461
91	3718	8407
92	3753	8355
93	3802	8333
94	3849	8307
95	3890	8267
96	3948	8264
97	4001	8247
98	4062	8249
99	4117	8235
100	4174	8224
101	4233	8218
102	4282	8191
103	4325	8151
104	4367	8111
105	4405	8062
106	4445	8018
107	4479	7964
108	4514	7910
109	4550	7859
110	4584	7805
111	4625	7763
112	4666	7721
113	4712	7689
114	4755	7650
115	4796	7608
116	4834	7562
117	4870	7511
118	4906	7462
119	4942	7414
120	4977	7363
121	5013	7314
122	5049	7266
123	5085	7217
124	5121	7169
125	5161	7127
126	5197	7080
127	5233	7031
128	5268	6984
129	5303	6934
130	5338	6886
131	5374	6840
132	5429	6817
133	5486	6796
134	5536	6766
135	5592	6744
136	5635	6704
137	5671	6657
138	5709	6613
139	5748	6570
140	5788	6527
141	5829	6486
142	5867	6441
143	5905	6397
144	5953	6363
145	5998	6326
146	6041	6288
147	6086	6250
148	6132	6214
149	6171	6171
150	6207	6125
151	6249	6084
152	6285	6039
153	6322	5993
154	6357	5947
155	6391	5899
156	6429	5856
157	6464	5809
158	6502	5766
159	6536	5719
160	6573	5675
161	6617	5636
162	6657	5595
163	6695	5552
164	6734	5510
165	6780	5473
166	6833	5442
167	6875	5402
168	6915	5360
169	6955	5319
170	6990	5273
171	7025	5228
172	7061	5183
173	7096	5138
174	7132	5094
175	7174	5054
176	7213	5012
177	7249	4968
178	7285	4924
179	7322	4881
180	7359	4838
181	7395	4795
182	7435	4753
183	7474	4712
184	7512	4669
185	7558	4632
186	7625	4608
187	7687	4579
188	7743	4547
189	7793	4512
190	7833	4470
191	7869	4426
192	7906	4383
193	7944	4340
194	7980	4297
195	8016	4253
196	8051	4209
197	8089	4167
198	8142	4132
199	8201	4100
200	8260	4068
201	8313	4033
202	8361	3995
203	8399	3952
204	8437	3910
205	8474	3867
206	8514	3825
207	8553	3783
208	8592	3741
209	8629	3698
210	8666	3655
211	8702	3612
212	8738	3569
213	8775	3526
214	8812	3483
215	8850	3441
216	8886	3399
217	8922	3356
218	8958	3313
219	8996	3271
220	9033	3229
221	9069	3186
222	9105	3143
223	9144	3102
224	9182	3060
225	9226	3020
226	9271	2981
227	9318	2942
228	9360	2902
229	9398	2860
230	9435	2818
231	9473	2776
232	9512	2735
233	9548	2693
234	9583	2650
235	9620	2609
236	9664	2568
237	9701	2527
238	9736	2484
239	9773	2443
240	9808	2401
241	9845	2359
242	9881	2317
243	9917	2276
244	9953	2234
245	9988	2192
246	10024	2150
247	10059	2109
248	10094	2067
249	10135	2027
250	10172	1985
251	10219	1946
252	10255	1905
253	10291	1863
254	10328	1822
255	10363	1781
256	10401	1740
257	10436	1698
258	10472	1657
259	10508	1616
260	10543	1575
261	10580	1534
262	10617	1493
263	10655	1452
264	10693	1412
265	10733	1371
266	10770	1331
267	10806	1290
268	10854	1250
269	10911	1212
270	10966	1173
271	11019	1134
272	11070	1094
273	11114	1054
274	11156	1014
275	11198	973
276	11235	932
277	11271	891
278	11307	851
279	11343	810
280	11380	769
281	11419	728
282	11456	688
283	11494	647
284	11533	607
285	11588	567
286	11641	527
287	11704	487
288	11749	447
289	11787	406
290	11824	365
291	11862	325
292	11901	284
293	11938	243
294	11974	202
295	12010	162
296	12047	121
297	12083	81
298	12123	40
299	12159	0
