iter	Logloss	Accuracy
0	0.3008423873	0.9426282663
1	0.2325034675	0.9426282663
2	0.1935621603	0.9426282663
3	0.1816199748	0.942513828
4	0.1791655733	0.942895289
5	0.1763334172	0.9453747854
6	0.172079158	0.9472057982
7	0.1713440186	0.9473583826
8	0.1699442922	0.9473583826
9	0.1664034688	0.9485027656
10	0.1658729252	0.9482357429
11	0.1656184624	0.9484264734
12	0.1654259893	0.9483883273
13	0.1649219442	0.948273889
14	0.1638905794	0.9486172039
15	0.1636939806	0.9485409117
16	0.1636565319	0.9485027656
17	0.1635897763	0.9485790578
18	0.1629913728	0.9488079344
19	0.161027423	0.9497615869
20	0.1606353633	0.9497234408
21	0.1599378596	0.9500667557
22	0.1597552453	0.9497615869
23	0.1581520337	0.9506770933
24	0.1579935833	0.9506389472
25	0.1573084713	0.9512492848
26	0.157055099	0.9510585543
27	0.1561550228	0.9518977685
28	0.1561268344	0.9518596224
29	0.156110625	0.9518596224
30	0.156042348	0.9517833302
31	0.155825866	0.9518596224
32	0.1553279666	0.9520503529
33	0.1552279697	0.9521266451
34	0.1547947686	0.9528132748
35	0.1547039509	0.9528132748
36	0.1539219237	0.9534999046
37	0.1536908066	0.9531184436
38	0.1535433849	0.9533854663
39	0.1529667329	0.9534236124
40	0.1529095102	0.9534236124
41	0.1527206406	0.9535761968
42	0.152294452	0.9538432195
43	0.1517033829	0.95403395
44	0.1516109459	0.9541483883
45	0.1512989672	0.9543391188
46	0.1512015344	0.9544535571
47	0.1511690712	0.9543772649
48	0.1511594513	0.9543772649
49	0.1509215084	0.9541865344
50	0.1508345647	0.9544535571
51	0.1506898544	0.9546824337
52	0.1506341546	0.9548350181
53	0.1505947962	0.9550638947
54	0.1505862101	0.9550638947
55	0.1504840094	0.9551401869
56	0.150452056	0.9549494564
57	0.1504040275	0.9548731642
58	0.1503533494	0.9549876025
59	0.150137282	0.9549113103
60	0.1500522935	0.9550638947
61	0.1500469631	0.9549876025
62	0.149360918	0.9552546252
63	0.1493297227	0.9552546252
64	0.1493144248	0.955178333
65	0.1492866969	0.9550638947
66	0.1492828337	0.9550638947
67	0.1489849194	0.9552164791
68	0.1489568706	0.9553309174
69	0.1489406717	0.9553309174
70	0.1488992603	0.9553309174
71	0.1488705342	0.9552927713
72	0.1485571516	0.9552164791
73	0.1483752535	0.9555216479
74	0.1483744366	0.9555979401
75	0.1476167092	0.955941255
76	0.1475951431	0.9557123784
77	0.1474118065	0.9559031089
78	0.1473763645	0.955941255
79	0.1473092564	0.9558649628
80	0.1472880698	0.955941255
81	0.1472781292	0.9559031089
82	0.1472675446	0.9559031089
83	0.1471813999	0.955941255
84	0.1471310212	0.9559794011
85	0.1470365107	0.955941255
86	0.1469033527	0.9561319855
87	0.1468130544	0.9560556933
88	0.1466566667	0.9561701316
89	0.1465945872	0.956322716
90	0.1464969592	0.9562845699
91	0.146480144	0.956322716
92	0.1463234827	0.9564371543
93	0.1463222162	0.9564371543
94	0.1463141166	0.9563608621
95	0.146248151	0.9564371543
96	0.1462037369	0.9565897387
97	0.1461683802	0.9565134465
98	0.1459802963	0.9568567614
99	0.1457535381	0.9567804692
100	0.145703886	0.9568186153
101	0.1456727945	0.9568186153
102	0.1456296082	0.9568186153
103	0.1455827255	0.9567804692
104	0.1455591138	0.9568186153
105	0.1453038725	0.9569330536
106	0.1451700515	0.9571619302
107	0.1451616979	0.9571237841
108	0.1450330911	0.9572382224
109	0.14475654	0.9575052451
110	0.1446467979	0.9577341217
111	0.1444211224	0.9576578295
112	0.1444128171	0.9576578295
113	0.144385933	0.9576578295
114	0.1443843538	0.9576578295
115	0.1443233077	0.9575815373
116	0.1441899265	0.9573908068
117	0.1439785627	0.9577341217
118	0.143878129	0.9578104139
119	0.1437360247	0.9578867061
120	0.1435547757	0.95784856
121	0.1433838472	0.9577341217
122	0.1433794063	0.9577341217
123	0.1431907446	0.9578867061
124	0.1431337466	0.9580392905
125	0.1426927116	0.9582681671
126	0.1424859544	0.9583826054
127	0.1424304354	0.958230021
128	0.1424164841	0.958230021
129	0.1423511378	0.9582681671
130	0.1422271948	0.9583444593
131	0.1421989036	0.958230021
132	0.1421777856	0.958230021
133	0.1421671602	0.9582681671
134	0.1421560314	0.958230021
135	0.1421500853	0.958230021
136	0.1421022005	0.9583063132
137	0.1421017962	0.9583063132
138	0.1420981128	0.9583063132
139	0.1420202499	0.9583063132
140	0.1419704148	0.9583063132
141	0.1417953467	0.9583444593
142	0.1412689024	0.9588403586
143	0.141215419	0.9589547969
144	0.1409577848	0.9590692352
145	0.1409505211	0.9590310891
146	0.1409485306	0.9590310891
147	0.1409358643	0.9590310891
148	0.140925725	0.958992943
149	0.1406537059	0.9591455274
150	0.1405031898	0.958992943
151	0.1404426672	0.9589166508
152	0.1403415916	0.9590310891
153	0.1400454179	0.959374404
154	0.1400336097	0.9594125501
155	0.1398166709	0.9596032806
156	0.1398111846	0.9596032806
157	0.1398060724	0.9596414267
158	0.1397729012	0.9596795728
159	0.1395893361	0.9596414267
160	0.1395576244	0.9596032806
161	0.1395413361	0.9596414267
162	0.1395387565	0.9596414267
163	0.1394804917	0.9598321572
164	0.1393621647	0.9599084494
165	0.1393440919	0.9599084494
166	0.1392862552	0.9599465955
167	0.139137769	0.9600610338
168	0.1391245502	0.9600610338
169	0.1390260988	0.9600610338
170	0.1389907093	0.9600610338
171	0.1389713238	0.960137326
172	0.138840698	0.9601754721
173	0.1385638545	0.9604424948
174	0.1384260974	0.9605569331
175	0.1379990822	0.9603280565
176	0.1377946177	0.960518787
177	0.1377644735	0.9605569331
178	0.1376320461	0.9605569331
179	0.1375987474	0.9606332253
180	0.1374644842	0.9607095175
181	0.1374287077	0.9608621019
182	0.1374222911	0.9608621019
183	0.1373837615	0.9609002479
184	0.1372303353	0.9609765401
185	0.1367122437	0.9610909784
186	0.1366733114	0.9610146862
187	0.1366466607	0.9611291245
188	0.1366440511	0.9611291245
189	0.1366324613	0.9610528323
190	0.1365730545	0.9611672706
191	0.1364714074	0.9611291245
192	0.13631941	0.9611672706
193	0.1361589927	0.9613961472
194	0.1361387502	0.9614724394
195	0.1361232441	0.9614724394
196	0.1357489521	0.9613961472
197	0.1357344598	0.9613580011
198	0.1356987626	0.9613580011
199	0.1356885753	0.9613580011
200	0.1356191235	0.961319855
201	0.1355896939	0.9612817089
202	0.1355724261	0.9613580011
203	0.1355698943	0.9613580011
204	0.1355461637	0.9615105855
205	0.135541658	0.9614724394
206	0.1355225628	0.9614724394
207	0.1354712724	0.9613580011
208	0.13546473	0.9613580011
209	0.1353754106	0.961319855
210	0.1353068544	0.9615487316
211	0.1352659167	0.9613961472
212	0.1352465849	0.9614342933
213	0.1348700814	0.9616250238
214	0.1347781932	0.9616250238
215	0.1347728498	0.9615868777
216	0.1347070546	0.9616250238
217	0.1347059206	0.9616250238
218	0.1346874331	0.9616250238
219	0.1346418944	0.9617394621
220	0.1346388351	0.9617394621
221	0.1346099824	0.9618157543
222	0.1342989705	0.9618920465
223	0.1342460019	0.9618539004
224	0.1342392979	0.9618920465
225	0.1342314615	0.9618920465
226	0.1341409999	0.9619301926
227	0.1341369334	0.9619301926
228	0.1341359308	0.9619301926
229	0.1339264463	0.9622735075
230	0.1339136764	0.9622353614
231	0.1337185439	0.9622735075
