iter	Passed	Remaining
0	29	29412
1	76	38013
2	161	53616
3	241	60009
4	300	59745
5	352	58442
6	457	64939
7	500	62115
8	579	63856
9	671	66471
10	724	65154
11	839	69093
12	920	69902
13	1024	72133
14	1119	73519
15	1180	72628
16	1232	71263
17	1284	70063
18	1377	71138
19	1466	71835
20	1550	72292
21	1644	73095
22	1726	73317
23	1818	73951
24	1903	74219
25	1991	74595
26	2076	74823
27	2166	75193
28	2270	76036
29	2362	76389
30	2448	76523
31	2538	76792
32	2638	77313
33	2719	77264
34	2800	77210
35	2891	77430
36	2985	77703
37	3068	77686
38	3162	77930
39	3263	78316
40	3355	78480
41	3449	78686
42	3541	78807
43	3630	78872
44	3715	78843
45	3803	78871
46	3893	78942
47	3998	79295
48	4115	79882
49	4211	80010
50	4308	80167
51	4405	80312
52	4497	80355
53	4579	80219
54	4667	80190
55	4749	80069
56	4834	79987
57	4922	79946
58	5012	79940
59	5125	80304
60	5246	80757
61	5354	81002
62	5482	81539
63	5591	81774
64	5684	81775
65	5784	81862
66	5903	82211
67	6022	82543
68	6137	82806
69	6233	82815
70	6322	82732
71	6417	82719
72	6513	82709
73	6618	82816
74	6703	82679
75	6804	82728
76	6914	82881
77	7023	83019
78	7127	83089
79	7230	83155
80	7339	83273
81	7469	83621
82	7581	83758
83	7698	83950
84	7805	84025
85	7916	84133
86	8026	84236
87	8162	84591
88	8290	84857
89	8400	84941
90	8531	85223
91	8642	85297
92	8762	85456
93	8849	85289
94	8945	85220
95	9053	85250
96	9164	85312
97	9281	85424
98	9390	85462
99	9531	85785
100	9655	85941
101	9766	85986
102	9901	86227
103	10012	86258
104	10112	86196
105	10216	86164
106	10318	86118
107	10429	86138
108	10527	86052
109	10626	85975
110	10723	85883
111	10826	85835
112	10932	85811
113	11033	85751
114	11127	85633
115	11222	85525
116	11324	85469
117	11434	85471
118	11541	85443
119	11635	85325
120	11740	85288
121	11839	85203
122	11941	85143
123	12060	85198
124	12169	85189
125	12283	85201
126	12387	85153
127	12512	85239
128	12637	85327
129	12777	85508
130	12925	85742
131	13050	85818
132	13163	85806
133	13262	85711
134	13363	85627
135	13455	85483
136	13554	85382
137	13652	85276
138	13761	85241
139	13861	85151
140	13959	85046
141	14061	84965
142	14175	84954
143	14270	84832
144	14374	84757
145	14467	84623
146	14558	84480
147	14663	84416
148	14767	84343
149	14874	84291
150	14971	84179
151	15068	84068
152	15172	83995
153	15264	83853
154	15361	83746
155	15465	83674
156	15569	83601
157	15673	83526
158	15775	83441
159	15876	83350
160	15975	83252
161	16079	83174
162	16165	83007
163	16267	82923
164	16375	82869
165	16471	82753
166	16580	82703
167	16682	82618
168	16780	82510
169	16884	82435
170	16981	82325
171	17074	82198
172	17186	82155
173	17291	82083
174	17396	82014
175	17510	81982
176	17626	81955
177	17725	81853
178	17830	81780
179	17924	81655
180	18038	81623
181	18150	81578
182	18248	81469
183	18338	81326
184	18439	81234
185	18548	81176
186	18643	81053
187	18749	80982
188	18843	80858
189	18937	80733
190	19034	80623
191	19140	80548
192	19255	80513
193	19359	80430
194	19448	80289
195	19546	80180
196	19651	80103
197	19738	79950
198	19856	79923
199	19945	79783
200	20050	79702
201	20149	79599
202	20239	79462
203	20339	79363
204	20437	79258
205	20529	79128
206	20624	79012
207	20724	78910
208	20831	78839
209	20942	78781
210	21036	78663
211	21136	78562
212	21233	78452
213	21336	78366
214	21436	78266
215	21532	78154
216	21626	78035
217	21715	77895
218	21806	77765
219	21918	77712
220	22004	77562
221	22097	77439
222	22205	77371
223	22294	77235
224	22395	77141
225	22488	77016
226	22586	76914
227	22701	76865
228	22790	76731
229	22893	76643
230	22987	76525
231	23079	76401
232	23198	76365
233	23294	76253
234	23386	76129
235	23468	75973
236	23562	75855
237	23665	75769
238	23760	75655
239	23854	75538
240	23951	75432
241	24046	75319
242	24152	75241
243	24248	75129
244	24350	75039
245	24445	74927
246	24549	74840
247	24653	74754
248	24749	74646
249	24843	74530
250	24954	74465
251	25070	74416
252	25174	74328
253	25311	74338
254	25435	74311
255	25581	74346
256	25685	74258
257	25797	74193
258	25903	74111
259	26003	74009
260	26103	73910
261	26234	73895
262	26344	73825
263	26446	73729
264	26553	73649
265	26683	73629
266	26794	73559
267	26894	73459
268	26989	73343
269	27086	73233
270	27179	73113
271	27281	73018
272	27375	72901
273	27479	72810
274	27577	72703
275	27670	72585
276	27764	72467
277	27856	72347
278	27953	72237
279	28038	72099
280	28133	71985
281	28225	71864
282	28325	71765
283	28426	71665
284	28536	71592
285	28651	71528
286	28753	71434
287	28851	71326
288	28949	71222
289	29039	71095
290	29130	70974
291	29223	70857
292	29315	70736
293	29422	70654
294	29507	70518
295	29613	70432
296	29710	70324
297	29804	70210
298	29906	70114
299	29999	69998
300	30102	69906
301	30191	69780
302	30280	69654
303	30389	69575
304	30491	69481
305	30580	69355
306	30671	69236
307	30760	69111
308	30857	69005
309	30951	68891
310	31038	68763
311	31130	68645
312	31228	68543
313	31336	68462
314	31439	68367
315	31541	68272
316	31642	68175
317	31734	68060
318	31840	67971
319	31946	67886
320	32049	67792
321	32142	67678
322	32239	67573
323	32343	67482
324	32442	67380
325	32532	67260
326	32627	67150
327	32719	67035
328	32805	66906
329	32889	66776
330	32981	66660
331	33069	66536
332	33166	66432
333	33268	66338
334	33367	66236
335	33480	66162
336	33583	66070
337	33687	65980
338	33767	65842
339	33857	65723
340	33943	65598
341	34036	65485
342	34124	65363
343	34207	65232
344	34306	65132
345	34397	65016
346	34479	64884
347	34585	64798
348	34682	64694
349	34783	64597
350	34877	64488
351	35003	64438
352	35117	64366
353	35199	64233
354	35305	64145
355	35402	64041
356	35487	63917
357	35584	63813
358	35668	63686
359	35767	63587
360	35864	63483
361	35963	63382
362	36055	63270
363	36149	63162
364	36240	63048
365	36328	62928
366	36442	62855
367	36521	62721
368	36616	62615
369	36698	62487
370	36783	62363
371	36869	62241
372	36965	62138
373	37073	62052
374	37195	61992
375	37304	61909
376	37411	61822
377	37516	61733
